,label,dim_0,dim_1,layer,fold,text,iteration
0,Rouble,-4.669401168823242,0.006752490997314453,average,train,What is this currency of russia,0
1,Rouble,1.0337705612182617,-0.5098336935043335,output,train,What is this currency of russia,0
2,Pound,-3.562218189239502,0.2890651226043701,average,train,What is this currency of england,0
3,Pound,0.7094067335128784,-0.2942150831222534,output,train,What is this currency of england,0
4,Moscow,-4.128398895263672,-1.3538092374801636,average,train,What is this capital of russia,0
5,Moscow,0.6598787903785706,-0.7319406270980835,output,train,What is this capital of russia,0
6,London,-3.0212159156799316,-1.071496605873108,average,train,What is this capital of england,0
7,London,0.5051813721656799,-0.3660605847835541,output,train,What is this capital of england,0
8,Rouble,0.9331551790237427,-0.7571022510528564,average,train,What 's russia 's currency,0
9,Rouble,1.727552056312561,0.0005471706390380859,output,train,What 's russia 's currency,0
10,Pound,2.0403380393981934,-0.4747896194458008,average,train,What 's england 's currency,0
11,Pound,1.6641379594802856,0.05870771408081055,output,train,What 's england 's currency,0
12,Moscow,1.474157452583313,-2.117663860321045,average,train,What 's russia 's capital,0
13,Moscow,0.9015375971794128,-0.21094562113285065,output,train,What 's russia 's capital,0
14,London,2.5813403129577637,-1.8353513479232788,average,train,What 's england 's capital,0
15,London,0.9977867603302002,0.016085684299468994,output,train,What 's england 's capital,0
16,Rouble,-2.636931896209717,-0.6510909795761108,average,dev,What currency is used in russia,0
17,Rouble,0.7643774151802063,-0.38829562067985535,output,dev,What currency is used in russia,0
18,Pound,-1.5297489166259766,-0.3687783479690552,average,dev,What currency is used in england,0
19,Pound,0.4672800898551941,-0.30827969312667847,output,dev,What currency is used in england,0
20,Moscow,-2.184108257293701,-1.0830836296081543,average,dev,What is the capital and largest city of russia,0
21,Moscow,0.47188323736190796,-0.7212292551994324,output,dev,What is the capital and largest city of russia,0
22,London,-1.0769253969192505,-0.8007709980010986,average,dev,What is the capital and largest city of england,0
23,London,0.32223567366600037,-0.35687023401260376,output,dev,What is the capital and largest city of england,0
24,Rouble,-0.2619943618774414,-0.09151589870452881,average,dev,What 's the currency in russia,0
25,Rouble,1.2522773742675781,-0.2263781726360321,output,dev,What 's the currency in russia,0
26,Pound,0.8451884984970093,0.19079673290252686,average,dev,What 's the currency in england,0
27,Pound,1.2495418787002563,-0.1802569031715393,output,dev,What 's the currency in england,0
28,Moscow,0.19082915782928467,-0.5235085487365723,average,dev,What 's the capital of russia,0
29,Moscow,0.7936688661575317,-0.6216553449630737,output,dev,What 's the capital of russia,0
30,London,1.2980120182037354,-0.2411959171295166,average,dev,What 's the capital of england,0
31,London,0.8456540107727051,-0.4238835573196411,output,dev,What 's the capital of england,0
32,Rouble,-4.653399467468262,0.040753960609436035,average,train,What is this currency of russia,10
33,Rouble,1.0429396629333496,-0.4508560299873352,output,train,What is this currency of russia,10
34,Pound,-3.526217222213745,0.32306408882141113,average,train,What is this currency of england,10
35,Pound,0.6719620227813721,-0.19916704297065735,output,train,What is this currency of england,10
36,Moscow,-4.124397277832031,-1.3058077096939087,average,train,What is this capital of russia,10
37,Moscow,0.6388633251190186,-0.7353436946868896,output,train,What is this capital of russia,10
38,London,-2.9972147941589355,-1.0234975814819336,average,train,What is this capital of england,10
39,London,0.46186012029647827,-0.3477148711681366,output,train,What is this capital of england,10
40,Rouble,0.8991546630859375,-0.7291021347045898,average,train,What 's russia 's currency,10
41,Rouble,1.6394966840744019,-0.17809677124023438,output,train,What 's russia 's currency,10
42,Pound,2.0263373851776123,-0.44679194688796997,average,train,What 's england 's currency,10
43,Pound,1.5669852495193481,-0.031059294939041138,output,train,What 's england 's currency,10
44,Moscow,1.428157091140747,-2.0756638050079346,average,train,What 's russia 's capital,10
45,Moscow,0.7835581302642822,-0.42823541164398193,output,train,What 's russia 's capital,10
46,London,2.555339813232422,-1.79335355758667,average,train,What 's england 's capital,10
47,London,0.8689937591552734,-0.10595983266830444,output,train,What 's england 's capital,10
48,Rouble,-2.6409311294555664,-0.6290900707244873,average,dev,What currency is used in russia,10
49,Rouble,0.7422216534614563,-0.33689478039741516,output,dev,What currency is used in russia,10
50,Pound,-1.5137485265731812,-0.34677988290786743,average,dev,What currency is used in england,10
51,Pound,0.39488208293914795,-0.25575491786003113,output,dev,What currency is used in england,10
52,Moscow,-2.190107822418213,-1.0410823822021484,average,dev,What is the capital and largest city of russia,10
53,Moscow,0.4623985290527344,-0.7466381788253784,output,dev,What is the capital and largest city of russia,10
